Movie Title,Year,Actor,Character
Veer Zaara,2004,Shah Rukh Khan,Veer Pratap Singh
Veer Zaara,2004,Preity G Zinta,Zaara Hayaat Khan
Veer Zaara,2004,Rani Mukerji,Saamiya Siddiqui
Veer Zaara,2004,Kirron Kher,Mariam Hayaat Khan
Veer Zaara,2004,Divya Dutta,Shabina 'Shabbo' Ibrahim
Veer Zaara,2004,Boman Irani,Jahangir Hayaat Khan
Veer Zaara,2004,Anupam Kher,Zakir Ahmed
Veer Zaara,2004,Amitabh Bachchan,Chaudhary Sumer Singh
Veer Zaara,2004,Hema Malini,Saraswati Kaur
Veer Zaara,2004,Manoj Bajpayee,Razaa Shirazi
Main Hoon Na,2004,Shah Rukh Khan,Maj. Ram Prasad Sharma
Main Hoon Na,2004,Sushmita Sen,Chandni Chopra
Main Hoon Na,2004,Suniel Shetty,Raghavan Datta
Main Hoon Na,2004,Zayed Khan,Laxman Prasad Sharma
Main Hoon Na,2004,Amrita Rao,Sanjana Bakshi
Main Hoon Na,2004,Kabir Bedi,Gen. Amarjeet Bakshi
Main Hoon Na,2004,Naseeruddin Shah,Brig. Shekhar Sharma
Main Hoon Na,2004,Boman Irani,Principal
Main Hoon Na,2004,Bindu Desai,Miss Kaker
Main Hoon Na,2004,Satish Shah,Prof. Rasai
Mujhse Shaadi Karogi,2004,Salman Khan,Sameer Malhotra
Mujhse Shaadi Karogi,2004,Akshay Kumar,Sunny
Mujhse Shaadi Karogi,2004,Priyanka Chopra Jonas,Rani Singh
Mujhse Shaadi Karogi,2004,Amrish Puri,Colonel Dugraj Singh
Mujhse Shaadi Karogi,2004,Rajpal Naurang Yadav,Raj Purohit / Paul
Mujhse Shaadi Karogi,2004,Satish Shah,Suraj Prakash
Mujhse Shaadi Karogi,2004,Supriya Karnik,Rama Dugraj Singh
Mujhse Shaadi Karogi,2004,Kader Khan,Mr. O. B. Duggal
Mujhse Shaadi Karogi,2004,Rekha Rao,Mrs. Duggal
Mujhse Shaadi Karogi,2004,Shashikala Jawalkar,Grandma Malhotra
Dhoom,2004,Abhishek Bachchan,Jai Dixit
Dhoom,2004,John Abraham,Kabir
Dhoom,2004,Uday Chopra,Ali Khan
Dhoom,2004,Esha Deol,Sheena
Dhoom,2004,Rimi Sen,Sweety Dixit
Dhoom,2004,Manoj Joshi,Shekhar
Dhoom,2004,Sanjay M. Singh,Rahul
Dhoom,2004,Amir Farid,Tony
Dhoom,2004,Mehul Bhojak,Manu
Dhoom,2004,Rohit Chopra,Rohit
Khakee,2004,Jeet,IPS Arjun Maitra
Khakee,2004,Mithun Debnath,Putul
Khakee,2004,Prosenjit Chatterjee,Barun Roy
Khakee,2004,Parambrata Chattopadhyay,IPS Saptarshi Sinha
Khakee,2004,Aadil Khan,Ranjit Thakur
Khakee,2004,Chitrangda Singh,Nibedita Basak
Khakee,2004,Saswata Chatterjee,Shankar Barua
Khakee,2004,Ritwik Bhowmik,Sagor Talukdar
Khakee,2004,Aakanksha Singh,Aratrika / ...
Khakee,2004,Mimoh Chakraborty,Himel Majumder
No Entry,2005,Anil Kapoor,Kishan Singhania
No Entry,2005,Salman Khan,Prem Khanna
No Entry,2005,Fardeen Khan,Shekhar 'Sunny'
No Entry,2005,Bipasha Basu,Bobby
No Entry,2005,Lara Dutta,Kaajal Singhania
No Entry,2005,Esha Deol,Pooja Khanna
No Entry,2005,Celina Jaitly,Sanjana Saxena
No Entry,2005,Boman Irani,Minister P.J. Gupta
No Entry,2005,Paresh Ganatra,Jagmohan Kaushik
No Entry,2005,Pratima Kazmi,Mrs. Gupta
Bunty Aur Babli,2005,Abhishek Bachchan,Rakesh Trivedi
Bunty Aur Babli,2005,Rani Mukerji,Vimmi Saluja
Bunty Aur Babli,2005,Amitabh Bachchan,DCP Dashrath Singh
Bunty Aur Babli,2005,Kiran Juneja,Vimmi's Mother
Bunty Aur Babli,2005,Lilliput,Pappu
Bunty Aur Babli,2005,Pratima Kazmi,Phool Sakhi
Bunty Aur Babli,2005,Prem Chopra,Sikh Truck Driver
Bunty Aur Babli,2005,Puneet Issar,Vimmi's Father
Bunty Aur Babli,2005,Raj Babbar,Trivedi
Bunty Aur Babli,2005,Rajesh Vivek,Protestor
Saalam Namaste,2005,Saif Ali Khan,Nikhil 'Nick' Arora
Saalam Namaste,2005,Preity G Zinta,"Ambar ""Ambi"" Malhotra"
Saalam Namaste,2005,Arshad Warsi,"Ranjan ""Ron"" Mathur"
Saalam Namaste,2005,Jaaved Jaaferi,Jaggu
Saalam Namaste,2005,Jugal Hansraj,Jignesh Pandya
Saalam Namaste,2005,Tania Zaetta,Cathy R. Mathur
Saalam Namaste,2005,Kunal Vijaykar,Deepan Nair / Debonair
Saalam Namaste,2005,Ravi Khote,Aslam Dheka
Saalam Namaste,2005,Kavita Kapoor,Doctor Reshma Desai
Saalam Namaste,2005,Maria Goretti,Cameo Appearance
Garam Masala,2005,Akshay Kumar,Mac
Garam Masala,2005,John Abraham,"Shyam ""Sam"""
Garam Masala,2005,Paresh Rawal,Mambo
Garam Masala,2005,Rimi Sen,Anjali
Garam Masala,2005,Nitu Chandra,Sweety
Garam Masala,2005,Nargis Bagheri,Puja
Garam Masala,2005,Daisy Bopanna,Deepti
Garam Masala,2005,Rajpal Naurang Yadav,Babban
Garam Masala,2005,Govardhan Asrani,Mac's Maternal Uncle
Garam Masala,2005,Manoj Joshi,Nageshwar
Mangal Pandey -  The Rising,2005,Aamir Khan,Sepoy Mangal Pandey
Mangal Pandey -  The Rising,2005,Rani Mukerji,Heera
Mangal Pandey -  The Rising,2005,Toby Stephens,Captain William Gordon
Mangal Pandey -  The Rising,2005,Coral Beed,Emily
Mangal Pandey -  The Rising,2005,Ameesha Patel,Jwala
Mangal Pandey -  The Rising,2005,Kirron Kher,Lol Bibi
Mangal Pandey -  The Rising,2005,Om Puri,Narrator
Mangal Pandey -  The Rising,2005,Ben Nealon,Hewson
Mangal Pandey -  The Rising,2005,Habib Tanvir,Bahadur Shah Zafar
Mangal Pandey -  The Rising,2005,Varsha Usgaonkar,Rani Laxmibai
Dhoom 2,2006,Hrithik Roshan,Aryan / Mr. A
Dhoom 2,2006,Abhishek Bachchan,Jai Dixit
Dhoom 2,2006,Aishwarya Rai Bachchan,Sunehri
Dhoom 2,2006,Uday Chopra,Ali
Dhoom 2,2006,Bipasha Basu,Shonali Bose / Monali Bose
Dhoom 2,2006,Rimi Sen,Sweety
Dhoom 2,2006,Trishla Baid,Governess
Dhoom 2,2006,Nikio,Elder Prince
Dhoom 2,2006,Railey,Younger Prince
Dhoom 2,2006,Harry,Cook
Krrish,2006,Hrithik Roshan,Krishna Mehra / Krrish / Rohit Mehra
Krrish,2006,Priyanka Chopra Jonas,Priya
Krrish,2006,Rekha,Sonia Mehra
Krrish,2006,Naseeruddin Shah,Dr. Siddhant Arya
Krrish,2006,Sharat Saxena,Vikram Sinha
Krrish,2006,Manini Mishra,Honey
Krrish,2006,Puneet Issar,Komal
Krrish,2006,Hemant Pandey,Bahadur
Krrish,2006,Akash Khurana,Catholic School Principal
Krrish,2006,Archana Puran Singh,Priya & Honey's boss
Lage Raho Munnabhai,2006,Sanjay Dutt,Murli Prasad Sharma
Lage Raho Munnabhai,2006,Arshad Warsi,Sarkeshwar
Lage Raho Munnabhai,2006,Vidya Balan,RJ Jhanvi Sahni
Lage Raho Munnabhai,2006,Boman Irani,Lakhbir Singh
Lage Raho Munnabhai,2006,Dilip Prabhawalkar,Mahatma Gandhi
Lage Raho Munnabhai,2006,Dia Mirza,Simran L. Singh
Lage Raho Munnabhai,2006,Jimmy Shergill,Victor D'Souza
Lage Raho Munnabhai,2006,Kulbhushan Kharbanda,Kkhurana
Lage Raho Munnabhai,2006,Parikshit Sahni,D'Souza
Lage Raho Munnabhai,2006,Saurabh Shukla,Batuk Maharaj
Kabhi Alvida Naa Kehna,2006,Amitabh Bachchan,Samarjit Talwar
Kabhi Alvida Naa Kehna,2006,Shah Rukh Khan,Dev Saran
Kabhi Alvida Naa Kehna,2006,Abhishek Bachchan,Rishi Talwar
Kabhi Alvida Naa Kehna,2006,Rani Mukerji,Maya Talwar
Kabhi Alvida Naa Kehna,2006,Preity G Zinta,Riya Saran
Kabhi Alvida Naa Kehna,2006,Kirron Kher,Kamaljit 'Kamal' Saran
Kabhi Alvida Naa Kehna,2006,Arjun Rampal,Jay
Kabhi Alvida Naa Kehna,2006,John Abraham,DJ at club
Kabhi Alvida Naa Kehna,2006,Logan Anderson,Receptionist
Kabhi Alvida Naa Kehna,2006,Lisa Anzelmo,American Reporter
Don - The Chase Begins Again,2006,Shah Rukh Khan,Mark Donald / Vijay Pal
Don - The Chase Begins Again,2006,Priyanka Chopra Jonas,Roma Bhagat
Don - The Chase Begins Again,2006,Arjun Rampal,Jasjit Ahuja
Don - The Chase Begins Again,2006,Isha Koppikar,Anita
