,Name
0,aaban
1,aabid
2,aadil
3,aahil
4,aalam
5,aalee
6,aalim
7,aamil
8,aamir
9,aaqib
10,aaqil
11,aarif
12,aariz
13,aaryan
14,aashif
15,aashir
16,aasif
17,aasim
18,aatif
19,aaus
20,aayan
21,aazim
22,abaan
23,abbas
24,abbud
25,abbudin
26,abdal
27,abdalala
28,abdel
29,abdul
30,abdulaalee
31,abduladheem
32,abduladl
33,abdulafuw
34,abdulahad
35,abdulaleem
36,abdulalim
37,abdulaliyy
38,abdulawwal
39,abdulazeez
40,abdulazim
41,abdulaziz
42,abdulbaaqi
43,abdulbaari
44,abdulbaasit
45,abdulbadee
46,abdulbadi
47,abdulbaith
48,abdulbaqi
49,abdulbari
50,abdulbarr
51,abdulbaseer
52,abdulbasir
53,abdulbasit
54,abdulbatin
55,abduldhahir
56,abdulfattah
57,abdulghafaar
58,abdulghaffar
59,abdulghafoor
60,abdulghafur
61,abdulghani
62,abdulhadi
63,abdulhafeedh
64,abdulhafeez
65,abdulhafiz
66,abdulhakam
67,abdulhakeem
68,abdulhakim
69,abdulhaleem
70,abdulhalim
71,abdulhameed
72,abdulhamid
73,abdulhannan
74,abdulhaq
75,abdulhaqq
76,abdulhaseeb
77,abdulhasib
78,abdulhayy
79,abduljabaar
80,abduljabbar
81,abduljaleel
82,abduljalil
83,abduljawwad
84,abdulkabir
85,abdulkareem
86,abdulkarim
87,abdulkhabir
88,abdulkhaliq
89,abdullah
90,abdullateef
91,abdullatif
92,abdulmaajid
93,abdulmaalik
94,abdulmajeed
95,abdulmajid
96,abdulmalik
97,abdulmani
98,abdulmannan
99,abdulmateen
100,abdulmatin
101,abdulmubdee
102,abdulmubdi
103,abdulmueed
104,abdulmueid
105,abdulmughni
106,abdulmuhaimin
107,abdulmuhaymin
108,abdulmuhsi
109,abdulmuhsin
110,abdulmuhyee
111,abdulmuhyi
112,abdulmuid
113,abdulmuiz
114,abdulmuizz
115,abdulmujeeb
116,abdulmujib
117,abdulmumin
118,abdulmunim
119,abdulmuntaqim
120,abdulmuqaddim
121,abdulmuqeet
122,abdulmuqsit
123,abdulmuqtadir
124,abdulmusawwir
125,abdulmutaal
126,abdulmutaalee
127,abdulmuti
128,abdulmuzanni
129,abdulnafi
130,abdulnaseer
131,abdulnasir
132,abdulnasser
133,abdulnoor
134,abdulnur
135,abdulqaadir
136,abdulqadeer
137,abdulqadir
138,abdulqahaar
139,abdulqahhar
140,abdulqaiyoum
141,abdulqawi
142,abdulqayyum
143,abdulquddus
144,abdulqudoos
145,abdulraafi
146,abdulrabb
147,abdulrafi
148,abdulraheem
149,abdulrahim
150,abdulrahman
151,abdulraqib
