Year,riz_score_weighted_mean,riz_score_weighted_median,riz_score_weighted_std,riz_score_weighted_min,riz_score_weighted_max,riz_score_binary_mean,riz_score_binary_median,sentiment_negative_ratio_mean,terrorism_flag_sum,anger_flag_sum,superstition_flag_sum,threat_to_western_flag_sum,misogyny_flag_sum,Movie Title_count
2004,1.286,1.181,0.508,0.838,1.837,1.333,1.0,0.711,0,1,0,1,2,3
2005,1.181,1.157,0.117,1.078,1.308,1.333,1.0,0.0,1,1,1,0,1,3
2006,0.851,0.839,0.104,0.754,0.96,0.667,1.0,0.067,0,2,0,0,0,3
2007,1.369,1.742,0.727,0.531,1.835,2.667,4.0,0.567,0,2,2,2,2,3
2008,1.018,0.979,0.129,0.913,1.162,1.667,2.0,0.167,0,3,0,0,2,3
2009,1.726,1.944,0.567,1.082,2.153,2.667,3.0,0.676,0,3,1,2,2,3
2010,0.638,0.579,0.277,0.396,0.94,0.0,0.0,0.067,0,0,0,0,0,3
2011,1.057,1.133,0.56,0.462,1.575,1.667,2.0,0.2,1,2,0,1,1,3
2012,1.515,1.342,0.61,1.009,2.192,2.0,1.0,0.414,2,2,0,1,1,3
2013,1.092,1.424,0.602,0.396,1.454,1.0,1.0,0.233,1,2,0,0,0,3
2014,1.22,1.097,0.734,0.555,2.007,2.333,2.0,0.222,1,2,1,1,2,3
2015,1.664,1.884,0.578,1.008,2.099,2.667,4.0,0.511,0,2,2,2,2,3
2016,1.254,1.131,0.242,1.098,1.533,1.667,2.0,0.5,0,3,0,1,1,3
2017,1.648,2.032,0.741,0.794,2.118,3.333,4.0,0.533,2,3,1,2,2,3
2018,1.786,1.801,0.21,1.569,1.988,3.667,3.0,0.556,1,3,1,3,3,3
2019,1.704,1.701,0.065,1.641,1.77,3.0,3.0,0.511,2,3,1,2,1,3
2020,1.264,1.189,0.305,1.004,1.599,1.333,1.0,0.367,0,3,0,0,1,3
2021,1.364,1.198,0.737,0.723,2.169,2.0,2.0,0.267,2,2,0,1,1,3
2022,1.743,1.776,0.698,1.029,2.423,2.667,2.0,0.8,1,3,1,1,2,3
2023,1.691,1.656,0.099,1.614,1.802,2.333,2.0,0.667,1,3,0,1,2,3
